company_name,company_sector,peer_rank,peer_name,peer_sector,similarity_score
ADANIPOWER,Unknown,1,BAJAJFINSV,Unknown,0.913
ADANIPOWER,Unknown,2,GODREJCP,Unknown,0.8375
ADANIPOWER,Unknown,3,TATACONSUM,Unknown,0.78
ADANIPOWER,Unknown,4,CHOLAFIN,Unknown,0.7781
ADANIPOWER,Unknown,5,CHOLAFIN,Unknown,0.7781
TATAPOWER,Unknown,1,ONGC,Unknown,0.9759
TATAPOWER,Unknown,2,BOSCHLTD,Unknown,0.9085
TATAPOWER,Unknown,3,TORNTPOWER,Unknown,0.872
TATAPOWER,Unknown,4,DABUR,Unknown,0.8686
TATAPOWER,Unknown,5,BATAINDIA,Unknown,0.8562
ZEEL,Unknown,1,UPL,Unknown,0.9378
ZEEL,Unknown,2,DRREDDY,Unknown,0.9151
ZEEL,Unknown,3,BALKRISIND,Unknown,0.9038
ZEEL,Unknown,4,GRASIM,Unknown,0.8888
ZEEL,Unknown,5,INDUSINDBK,Unknown,0.8854
SUNTV,Unknown,1,POWERGRID,Unknown,0.9992
SUNTV,Unknown,2,DIVISLAB,Unknown,0.9912
SUNTV,Unknown,3,SUNPHARMA,Unknown,0.9843
SUNTV,Unknown,4,SJVN,Unknown,0.9774
SUNTV,Unknown,5,NHPC,Unknown,0.9576
PVRINOX,Unknown,1,ADANIENT,Unknown,0.9843
PVRINOX,Unknown,2,WESTLIFE,Unknown,0.9665
PVRINOX,Unknown,3,ESCORTS,Unknown,0.9576
PVRINOX,Unknown,4,NYKAA,Unknown,0.954
PVRINOX,Unknown,5,APOLLOTYRE,Unknown,0.9232
ASHOKLEY,Unknown,1,TITAN,Unknown,0.9617
ASHOKLEY,Unknown,2,INDIGO,Unknown,0.8649
ASHOKLEY,Unknown,3,MUTHOOTFIN,Unknown,0.8592
ASHOKLEY,Unknown,4,COLPAL,Unknown,0.748
ASHOKLEY,Unknown,5,UNITDSPR,Unknown,0.5798
ESCORTS,Unknown,1,NYKAA,Unknown,0.9953
ESCORTS,Unknown,2,ADANIENT,Unknown,0.9782
ESCORTS,Unknown,3,PVRINOX,Unknown,0.9576
ESCORTS,Unknown,4,DMART,Unknown,0.9433
ESCORTS,Unknown,5,HINDALCO,Unknown,0.91
BALKRISIND,Unknown,1,ZEEL,Unknown,0.9038
BALKRISIND,Unknown,2,DRREDDY,Unknown,0.8975
BALKRISIND,Unknown,3,CIPLA,Unknown,0.858
BALKRISIND,Unknown,4,ULTRACEMCO,Unknown,0.8145
BALKRISIND,Unknown,5,BAJAJFINSV,Unknown,0.8056
APOLLOTYRE,Unknown,1,WESTLIFE,Unknown,0.9579
APOLLOTYRE,Unknown,2,MOTHERSON,Unknown,0.954
APOLLOTYRE,Unknown,3,MARUTI,Unknown,0.9357
APOLLOTYRE,Unknown,4,VOLTAS,Unknown,0.9345
APOLLOTYRE,Unknown,5,PVRINOX,Unknown,0.9232
MRF,Unknown,1,TATASTEEL,Unknown,0.9929
MRF,Unknown,2,ICICIBANK,Unknown,0.9896
MRF,Unknown,3,AXISBANK,Unknown,0.9837
MRF,Unknown,4,PNB,Unknown,0.9833
MRF,Unknown,5,UNIONBANK,Unknown,0.9825
JUBLFOOD,Unknown,1,SBILIFE,Unknown,0.987
JUBLFOOD,Unknown,2,ICICIGI,Unknown,0.987
JUBLFOOD,Unknown,3,BANDHANBNK,Unknown,0.987
JUBLFOOD,Unknown,4,RELAXO,Unknown,0.987
JUBLFOOD,Unknown,5,PAGEIND,Unknown,0.987
WESTLIFE,Unknown,1,PVRINOX,Unknown,0.9665
WESTLIFE,Unknown,2,APOLLOTYRE,Unknown,0.9579
WESTLIFE,Unknown,3,JUBLFOOD,Unknown,0.9447
WESTLIFE,Unknown,4,UPL,Unknown,0.9174
WESTLIFE,Unknown,5,SBILIFE,Unknown,0.9148
RELAXO,Unknown,1,SBILIFE,Unknown,1.0
RELAXO,Unknown,2,ICICIGI,Unknown,1.0
RELAXO,Unknown,3,BANDHANBNK,Unknown,1.0
RELAXO,Unknown,4,PAGEIND,Unknown,1.0
RELAXO,Unknown,5,ABBOTINDIA,Unknown,1.0
BATAINDIA,Unknown,1,SBIN,Unknown,0.9993
